,name,category,address,tel,description,summary
1850,ENTREPRISE LORANGEFIC,Merceries,"C/324-4, Non loin du Carrefour Lomnava - 03 BP 3133 Cotonou - Bénin",+2290195956019,,Merceries
1851,ETS AFA-D BUSINESS,Merceries,"En face du Carrefour Energie Plus, Djadjo Abomey-Calavi - Bénin",+2290195712355,,Merceries
1852,ETS AKPEDJE MAHOU COUTURE,Merceries,"Rue 13813, Godomey échangeur Godomey Abomey-Calavi - Bénin",+2290166034034,,Merceries
1853,ETS AU PETIT SOURIRE,Merceries,"C/ 537, Rue des Missions 06 BP 0154 Cotonou - Bénin",+2290195955450,"Mercerie et divers , Décoration, Prêt à Porter, accessoires de baptême Communion et Mariage.","MerceriesMercerie et divers , Décoration, Prêt à Porter, accessoires de baptême Communion et Mariage."
1854,ETS CHEZ TATA LA MAIN DE L'ETERNEL DIEU,Merceries,"Alignement de la Poissonnerie sol des Anges, Logozounkpa Cotonou - Bénin",+2290162256625,,Merceries
1855,ETS DIEU EST AMOUR CHEZ KAYODE,Merceries,Kanglouè Agla Cotonou - Bénin,+2290195417174,,Merceries
1856,ETS DIEU EST GRAND COUTURE,Merceries,Atrokpocodji Abomey-Calavi - Bénin,+2290197825772,,Merceries
1857,ETS FOUMI,Merceries,Parama Tankpê Abomey-Calavi - Bénin,+2290161214343,,Merceries
1858,ETS GOLD BLESSING,Merceries,Carrefour Sogema Saint Michel Cotonou - Bénin,+2290163407305,,Merceries
1859,ETS IFA Sarl,Merceries,"Rue 12816, Fidjrossè Kpota Agla Cotonou - Bénin",+2290197602669,,Merceries
1860,ETS L'ETERNEL EST MON BERGER,Merceries,Bidossessi Abomey-Calavi - Bénin,+2290166928254,,Merceries
1861,ETS LUCANNE,Merceries,Kindenou Cotonou - Bénin,+2290196730549,Merceries général et perllage.,MerceriesMerceries général et perllage.
1862,ETS MERCERIE ALAFIA,Merceries,"Bd St Michel, Cotonou - Bénin",+2290197312370,Spécialisé dans les accessoires de couture et de décoration.,MerceriesSpécialisé dans les accessoires de couture et de décoration.
1863,ETS RAMZI,Merceries,"3ème vons à gauche en quittant le carrefour bidossessi, après MTN Connect Zogbadjè-Bidosséssi Abomey-Calavi - Bénin",+2290197114341,,Merceries
1864,ETS ROI ARTHUR,Merceries,Non loin du carrefour en allant à Senadé Ayelawadjé Cotonou - Bénin,+2290166300777,,Merceries
1865,ETS ROSANA ET FILS,Merceries,Dans l'enceinte du marché de Tokpa Tokpa - Dantokpa Cotonou - Bénin,+2290162320707,,Merceries
1866,ETS SHEILA MAELLE,Merceries,Fidjrossè Cotonou - Bénin,+2290197487313,,Merceries
1867,GOLDEN WOMEN,Merceries,Akpakpa Sacré Cœur Cotonou - Bénin,+2290154722999,,Merceries
1868,HB DESIGN,Merceries,Carrefour Paruna Abomey-Calavi - Bénin,+2290196877900,Mercerie/vente d'accessoire de couture,MerceriesMercerie/vente d'accessoire de couture
1869,HIGH FASHION ET FILS Sarl,Merceries,Gbédokpo Cotonou - Bénin,+2290197029114,,Merceries
1870,IYA KAMAL,Merceries,- Gbégamey Cotonou - Bénin,+2290161303743,,Merceries
1871,LA MERCERIE DU QUARTIER,Merceries,Saint louis Abomey-Calavi - Bénin,+2290151810959,,Merceries
1872,LES BOBINES DE TYSHOO,Merceries,Carrefour Fececan Abomey-Calavi - Bénin,+2290164210126,,Merceries
1873,MAMAN HARMONIE,Merceries,"Marché dupont, carrefour super Abomey-Calavi - Bénin",+2290195449366,,Merceries
1874,MERCERIE A DIEU MA GLOIRE,Merceries,Aitchédji Abomey-Calavi - Bénin,+2290197272250,,Merceries
1876,Dafawaz Center,Mobilier de bureau,"Cotonou Quartier Vedoko ,Rue Funai Benin - Sainte-Rita Atlantique Department Cotonou - Bénin",+2290194942424,,Mobilier de bureau
1877,AFRIQUE OCCASION SARL,Mobilier de bureau,Carrefour Dèkoungbé 03 BP 3803 Cotonou 03 Cotonou - Bénin,+2290197163216,,Mobilier de bureau
1878,AHMED DEKO & AMEUBLEMENTS,Mobilier de bureau,Cadjèhoun Cotonou - Bénin,Tel:+2290196606049,"Mobilier, vente d'articles de décoration","Mobilier de bureauMobilier, vente d'articles de décoration"
1879,AMERICA FURNITURE,Mobilier de bureau,"Bar Tito, Rue des Missions, Imm. C/792, à coté de la place bicentenaire Sikècodji Cotonou - Bénin",+2290197895390,,Mobilier de bureau
1880,AMEUBLEMENT STYLE ITALIEN,Mobilier de bureau,"C/ 1074, Rue 142, Face Cathédrale Notre Dame Wologuêdè - Minonkpo - 01 BP 5658 Cotonou - Bénin",Tel:+2290121327418,,Mobilier de bureau
1881,AMOUR DIVINE SERVICE,Mobilier de bureau,>Agori Abomey-Calavi - Bénin,Tel:+2290190067633,,Mobilier de bureau
1882,ARRIVAGE INTERNATIONAL,Mobilier de bureau,Le Belier Akpakpa Cotonou - Bénin,+2290165738029,,Mobilier de bureau
1883,ATC BEKO,Mobilier de bureau,"Lot 366, Boulevard Saint Miche, face CPA, Imm. ATC Zongo - 01 BP 1930 Cotonou - Bénin",Tel:+2290121316148,,Mobilier de bureau
1884,AUDITECH HSECURITY LOGISTICS,Mobilier de bureau,"Lot 1394l, maison allagbe souley Sainte Rita - 01 BP 5715 Cotonou - Bénin",+2290197124335,,Mobilier de bureau
1885,AUTHENTIC BUREAUTIQUE,Mobilier de bureau,Av. de l'Europe Godomey Abomey-Calavi - Bénin,+2290195858843,,Mobilier de bureau
1886,Ameublement la gloire de Dieu,Mobilier de bureau,01 Département de l’Ouémé Agblangandan - Bénin,+2290197596123,,Mobilier de bureau
1887,BENIN MECA,Mobilier de bureau,03 BP 588 Cotonou - Bénin,Tel:+2290121330458,,Mobilier de bureau
1888,BENIN MEUBLE,Mobilier de bureau,Godomey echangel Abomey-Calavi - Bénin,+2290196406171,,Mobilier de bureau
1889,CENTRALE DU MOBILIER,Mobilier de bureau,En quittant le feu tricolore Agontinkon à droite après ECOBANK Agontinkon Cotonou - Bénin,Tel:+2290121360008,"Nous sommes une entreprise spécialisée dans l'importation et la vente des mobiliers du bureau et de maison, des coffres forts, des accessoires d'entretien et de réparation de meuble.","Mobilier de bureauNous sommes une entreprise spécialisée dans l'importation et la vente des mobiliers du bureau et de maison, des coffres forts, des accessoires d'entretien et de réparation de meuble."
1890,CITY MEUBLES SARL,Mobilier de bureau,CABOMA Saint Michel - 05 BP 659 Cotonou - Bénin,Tel:+2290121316826,,Mobilier de bureau
1891,DGA STORE,Mobilier de bureau,"En quittant le carrefour Concorde pour le carrefour Aglouza, 50m à droite, avant PADME Cocotomey Cotonou - Bénin",+2290197531494,"DGA STORE est une chaîne de magasin de vente de tout équipement électroménager et de meubles pour votre maison, appartement ou entreprise et des consommables informatique","Mobilier de bureauDGA STORE est une chaîne de magasin de vente de tout équipement électroménager et de meubles pour votre maison, appartement ou entreprise et des consommables informatique"
1892,ETS A DIEU SOIT LA GLOIRE,Mobilier de bureau,"Juste avant l'ancienne boulangerie de Zogbo, en face de SOROC Zogbo Cotonou - Bénin",+2290166464618,,Mobilier de bureau
1893,ETS AGECOM,Mobilier de bureau,C/114-49 Missébo Cotonou - Bénin,+2290197484188,,Mobilier de bureau
1894,ETS ATAVI,Mobilier de bureau,- Godomey Abomey-Calavi - Bénin,+2290195811335,,Mobilier de bureau
1895,ETS ATD,Mobilier de bureau,"C/612, Bd. des Armées Saint Jean Cotonou - Bénin",Tel:+2290121092404,,Mobilier de bureau
1896,ETS ATH SRS,Mobilier de bureau,Kindonou Cotonou - Bénin,+2290197111089,,Mobilier de bureau
1897,ETS DECO DE PARIS,Mobilier de bureau,"Menontin, Cotonou Cotonou - Bénin",+2290167140808,,Mobilier de bureau
1898,ETS ETERNEL EST BON ENVERS TOUS,Mobilier de bureau,Agori Abomey-Calavi - Bénin,+2290197679957,,Mobilier de bureau
1899,ETS L.T.D TEMPLE DE DIEU,Mobilier de bureau,Zogbadjè Abomey-Calavi - Bénin,+2290165481486,,Mobilier de bureau
1900,ETS MALISE SERVICE,Mobilier de bureau,Parakou Cotonou - Bénin,+2290197892629,"Mobilier de bureau, BTP, Immobilier.","Mobilier de bureauMobilier de bureau, BTP, Immobilier."
1901,ETS OVER ET FRERES,Mobilier de bureau,"950, Bd. des Armées Sikècodji Cotonou - Bénin",+2290163215260,,Mobilier de bureau
1902,ETS YA CHABAB ET FILS,Mobilier de bureau,Suru lélé Cotonou - Bénin,+2290197127420,,Mobilier de bureau
1903,ETS YESHUA HA MACHIAH,Mobilier de bureau,"En quittant Cotonou, Djocobi Abomey-Calavi - Bénin",+2290195230400,,Mobilier de bureau
1904,EUROPA PARK,Mobilier de bureau,Cadjehoun Cadjèhoun Cotonou - Bénin,+2290197358899,,Mobilier de bureau
1905,ACTHO ANGE-MARIE ET FILS,Papeterie,Ayimevo Godomey - 08 BP 1071 Abomey-Calavi - Bénin,+2290197681944,,Papeterie
1906,ALLELUIA,Papeterie,"Lot 868, Rue 3127 Ayélawadjé Cotonou - Bénin",+2290194553600,,Papeterie
1907,CBP (COMPTOIR BENINOIS DU PAPIER),Papeterie,"C/ 87, Rue des cheminots 01 BP 3513 Cotonou - Bénin",Tel:+2290121311069,,Papeterie
1908,CENTRE DE PHOTOCOPIE CLAIRE ET NETTE,Papeterie,"Carrefour St Michel, en face de SAHAM, près des feux tricolores SOGEMA Saint Michel Cotonou - Bénin",+2290196547770,,Papeterie
1909,ECOCYCLE,Papeterie,Lot 1430 Vedoko 08 BP 1183 Cotonou - Bénin,+2290197679434,,Papeterie
1910,ELITE PAPETERIE,Papeterie,Godomey Cotonou - Bénin,+2290152171777,,Papeterie
1911,ETS ARANKA,Papeterie,Glo-Djigbé Yekon 06 BP 1345 Cotonou - Bénin,+2290197804903,,Papeterie
1912,ETS BIG PERSEVERANCE,Papeterie,"Non loin du Carrefour Togoudo, en allant vers Womey à Gauche Godomey-Togoudo Abomey-Calavi - Bénin",+2290197171272,,Papeterie
1913,ETS COPY CENTER,Papeterie,Rue 9210 Mènontin Cotonou - Bénin,+2290167447707,,Papeterie
1914,ETS CR,Papeterie,Akassato gninnin Abomey-Calavi - Bénin,+2290196389153,Fourniture scolaire,PapeterieFourniture scolaire
1915,ETS GANDONOV,Papeterie,Av du Renouveau Zogbo Cotonou - Bénin,+2290195818237,,Papeterie
1916,ETS LE BON COMBAT,Papeterie,Agori Abomey-Calavi - Bénin,+2290199513642,"Librairie, papeterie, fourniture","PapeterieLibrairie, papeterie, fourniture"
1917,ETS NO LIMIT.COM,Papeterie,Rue 9232 Ménontin Cotonou - Bénin,+2290195949914,,Papeterie
1918,ETS QUI-SOLIDO,Papeterie,Rue 2210 Yénawa Cotonou - Bénin,+2290197340020,"Impression, Fourniture scolaire","PapeterieImpression, Fourniture scolaire"
1919,ETS VS TOUR,Papeterie,A coté du CS Nanguézé Gbèdjromédé Cotonou - Bénin,+2290164116612,,Papeterie
1920,FALYS GROUP Sarl,Papeterie,"Av. Augustin Nikoué, Scoa Gbéto - 01 BP 732 Cotonou - Bénin",+2290197581773,,Papeterie
1921,FIRACE SERVICES,Papeterie,"Jonquet, Immeuble AMEGNIZIN Cotonou - Bénin",+2290196272878,,Papeterie
1922,GALOBE,Papeterie,Maison Tossou Abomey-Calavi - 156 Dassa/Benin - Bénin,+2290166975853,,Papeterie
1923,GPL (GRANDE PAPETERIE DU LAC),Papeterie,"Rue 311, Xwlacodji 0 1 BP 5861 Cotonou - Bénin",Tel:+2290121312881,,Papeterie
1924,GROUPE EL SHADDAI SARL,Papeterie,Ménontin immeuble juste à coté de l'auto école universelle 01 BP 6904 Cotonou - Bénin,+2290169999200,,Papeterie
1925,LA COQUETTE,Papeterie,Non loin du carrefour Djadjo Houeto Abomey-Calavi - Bénin,+2290196633300,,Papeterie
1927,LIBRAIRIE LBU,Papeterie,"Av. Clozel, à 100 m du Feu Tricolore, Face au Super U Ganhi - 05 BP 1783 Cotonou - Bénin",Tel:+2290121315090,,Papeterie
1928,LIBRAIRIE NOTE DAME,Papeterie,Ganhi Cotonou - Bénin,+2290195953901,,Papeterie
1929,LIBRAIRIE NOTRE DAME,Papeterie,"Av. Clozel, non loin de la Cathédrale Notre-Dame Ganhi - 01 BP 307 Cotonou - Bénin",Tel:+2290121314094,,Papeterie
1930,M-MESSIE Sarl,Papeterie,"C/671, Rue 4230 Sodjatinmé Cotonou - Bénin",+2290195033722,,Papeterie
1932,PAPETERIE HAI KING,Papeterie,"Bd. St Michel, en face de la Station Legba, avant diamond Bank, maison n°538 Saint Michel Cotonou - Bénin",Tel:+2290121324617,,Papeterie
1933,PAPETERIE LIBRAIRIE TUNDE,Papeterie,Saint-michel Cotonou - Bénin,Tel:+2290161109168,,Papeterie
1934,PAPETERIE MODERNE CALAVI,Papeterie,"Au bord de la voie pavée en face de l'hôyel big Man, Zogbadjè Cotonou - Bénin",+2290167206562,Fourniture scolaire et bureautique et centre informatique.,PapeterieFourniture scolaire et bureautique et centre informatique.
1935,Afripara Cosmetic,Parfumeries,- - Houenoussou Littoral Cotonou - Bénin,+2290190555551,,Parfumeries
1936,BK-STORE,Parfumeries,"bar Parc des Princes, Godomey en face du Atlantique Department Cotonou - Bénin",+2290197311125,,Parfumeries
1937,DMS/RYASHOP,Parfumeries,- Atlantique Department Abomey Calavi - Bénin,+2290161110932,,Parfumeries
1938,Fakpa trading sarl,Parfumeries,500 Département de l’Ouémé Porto-Novo - Bénin,+2290166730946,,Parfumeries
1939,La Riviera Parfumerie,Parfumeries,9C4P+2W7 - Xwlacodji Atlantique Department Cotonou - Bénin,+2290166442260,,Parfumeries
1940,Leboncoin benin,Parfumeries,"9CGC+2X7, Jericho Cotonou - Saint-Jean Atlantique Department Cotonou - Bénin",+2290162861938,,Parfumeries
1941,RYA SHOP,Parfumeries,C8QR+7MM Atlantique Department Abomey Calavi - Bénin,+2290163814867,,Parfumeries
1942,Smil's Shop,Parfumeries,- - Vodje Littoral Cotonou - Bénin,+2290167900138,,Parfumeries
1943,Supermarche Morija,Parfumeries,"Akpakpa, 2953 Rue Bel Air - Segbeya Atlantique Department Cotonou - Bénin",+2290166315620,,Parfumeries
1944,Vicadiv Essence,Parfumeries,Agbalilame - Avotrou Département de l’Ouémé Cotonou - Bénin,+2290145068641,,Parfumeries
1945,ANGEL PERFUMERIES,Parfumeries,Akpakpa Cotonou - BP 2286 Cotonou - Bénin,+2290160026179,Nous vendons les parfums Smart Collection ainsi que les déodorants Smart à petit prix et qui durent.,ParfumeriesNous vendons les parfums Smart Collection ainsi que les déodorants Smart à petit prix et qui durent.
1946,ART FASHION prêt a porter Cotonou,Parfumeries,Rue 403 - Gbedokpo Atlantique Department Cotonou - Bénin,+2290197234466,,Parfumeries
1947,BB LUXURY PARFUMERIE,Parfumeries,Carrefour la Roch Akpakpa Cotonou - Bénin,+2290196972774,,Parfumeries
1948,BISSOLASCENT,Parfumeries,Senande Cotonou - Bénin,+2290162528336,"Distribution de déodorisant, diffuseurs encens, encensoir et parfum arabe.","ParfumeriesDistribution de déodorisant, diffuseurs encens, encensoir et parfum arabe."
1949,ELIRAM SERVICES,Parfumeries,Agori Abomey-Calavi - Bénin,+2290197262139,,Parfumeries
1950,ETS ANGELUS BUSINESS,Parfumeries,Tankpé Tankpê Abomey-Calavi - Bénin,+2290166480872,"Cosmétique, Parfumerie","ParfumeriesCosmétique, Parfumerie"
1951,Etincelle,Parfumeries,Boulevard Steinmetz - Gbedokpo Cotonou - Bénin,+2290169842956,,Parfumeries
1952,HEAVEN THINGS,Parfumeries,475 - Haie Vive Littoral Cotonou - Bénin,+2290152262323,,Parfumeries
1953,HIGH ELEGANCE,Parfumeries,En face du Temple de Vossa Gbèdjromédé Cotonou - Bénin,+2290197723986,,Parfumeries
1954,KADIDIA LA MALIENNE,Parfumeries,Non loin de l'Etoile Rouge Sikècodji Cotonou - Bénin,+2290166865649,,Parfumeries
1955,KOUNTEE MODE,Parfumeries,Tankpê Abomey-Calavi - Bénin,+2290153028596,"Parfumerie, accessoires mode","ParfumeriesParfumerie, accessoires mode"
1956,KRISTAL-I,Parfumeries,Abomey calavi Abomey-Calavi - Bénin,+2290140482574,Vente de parfums brumes et déodorant.,ParfumeriesVente de parfums brumes et déodorant.
1957,Kings Aura Perfume,Parfumeries,"Akpakpa, PK 3 - Sodjeatinme Atlantique Department Cotonou - Bénin",+2290167064611,,Parfumeries
1958,LA MAISON DU PARFUMEUR,Parfumeries,"Zogbadjè, 32 Atlantique Department Abomey Calavi - Bénin",+2290151567273,,Parfumeries
1959,LADY MILLIONNE HOUSE,Parfumeries,Agla petit à petit Cotonou - Bénin,+2290150283898,Vente d'accessoire de beauté; parfumeries.,ParfumeriesVente d'accessoire de beauté; parfumeries.
1960,LE BOUDOIR DE JOYCE,Parfumeries,"Rue pavée face à la nouvelle brasserie, boutique n°6 - Haie Vive Haie Vive Cotonou - Bénin",Tel:+2290191491291,"Senteurs- Idées de cadeaux féminins, masculins et enfants.","ParfumeriesSenteurs- Idées de cadeaux féminins, masculins et enfants."
1961,LE COLISEE,Parfumeries,"Bd. St Michel, à 10m de la Banque SGBE, en allant auw Feux Tricolores de Diversité Saint Michel Cotonou - Bénin",+2290194013506,"Cosmétique, Maquillage, Joaillerie","ParfumeriesCosmétique, Maquillage, Joaillerie"
1962,LES ESSENCES D'ESSI,Parfumeries,Boutique à côté du 8è arrondissement Gbèdjromédé Cotonou - Bénin,+2290196242412,,Parfumeries
1963,LES SENTEURS DE MEMOIRE,Parfumeries,Dantokpa - Dantokpa Saint Michel Cotonou - 03 BP 2972 - Bénin,Tel:+2290121323245,,Parfumeries
1964,M'boutik,Parfumeries,00229 Atlantique Department Godomey - Bénin,+2290159002459,,Parfumeries
1965,ARTS DU MONDE,Pompes funèbres,"Av. de La Francophonie, Fidjrosse Jacquot 04 BP 1003 Cotonou - Bénin",Tel:+2290121392011,,Pompes funèbres
1966,ETS 25EME HEURE & FILS,Pompes funèbres,"1, Rue Avana, Sikecodji, C/821 3 BP 3957 / 06 BP 3927 Cotonou - Bénin",Tel:+2290121324543,,Pompes funèbres
1967,ETS CHEZ ELLE CREATION ET POMPES FUNEBRES,Pompes funèbres,04 BP 0041 Cotonou - Bénin,Tel:+2290121321214,,Pompes funèbres
1968,ETS LE DOUX,Pompes funèbres,En allant au carrefour Tankpê Tankpê Abomey-Calavi - Bénin,+2290195540694,,Pompes funèbres
1970,GROUPE MMS (LA METROPOLE EVENEMENTIELLE),Pompes funèbres,"C/529, En face de la station Legba Saint Michel - 103 BP 02592 Cotonou - Bénin",Tel:+2290121324473,Pompe funèbre – Locations – Métro Entraide Obsèques - Métro Entraide Réjouissances - SVA,Pompes funèbresPompe funèbre – Locations – Métro Entraide Obsèques - Métro Entraide Réjouissances - SVA
1971,POMPES FUNEBRES LIBERTE,Pompes funèbres,Rue 1443 Midombo - 05 BP 721 Cotonou - Bénin,Tel:+2290121392465,,Pompes funèbres
1972,PROCI POMPES FUNEBRES,Pompes funèbres,Rue des cheminots Akpakpa - 01 BP 3734 Cotonou - Bénin,+2290163207777,,Pompes funèbres
1973,PROCI Sarl,Pompes funèbres,"PK 6 Akpakpa, Zone  Ambassages 01 BP 3734 Cotonou - Bénin",Tel:+2290121313457,,Pompes funèbres
1974,SAMFO ET FILS,Pompes funèbres,Lot 126-IJ Gouakokotoclome Apro-Misserete - Bénin,Tel:+2290120007020,,Pompes funèbres
1975,SOBEPOF  ,Pompes funèbres,"6 BP 1799 Akpakpa C/ 4050, Rue 1885 (Bel Air) Cotonou - Bénin",Tel:+2290121335353,,Pompes funèbres
1976,BLANCHISSERIE PRESSING PASCAL,Pressings,- Dassa-Zoumé - Bénin,+2290153979821,,Pressings
1977,BONACHI PRESSING,Pressings,"09 BP 799, Scoa gbéto, C/416 Avenue du Roi Guézo - Plan B2 - Page 172 - Saint-Jean Atlantique Department Cotonou - Bénin",Tel:+2290121323971,,Pressings
1978,Benin Tous Services SAS,Pressings,229 - kouhounou Atlantique Department Cotonou - Bénin,+2290160007551,,Pressings
1979,Bola Entreprises,Pressings,06 BP 1275 Département de l’Ouémé Porto-Novo - Bénin,+2290169095175,,Pressings
1980,DEGNON GLORY,Pressings,BP 384 Abomey-Calavi (Alédjo Atlantique Department Abomey Calavi - Bénin,+2290196074426,,Pressings
1981,EBEN EZER PR (PRESSING BLANCHISSERIE),Pressings,229 Atlantique Department Abomey Calavi - Bénin,+2290196913263,,Pressings
1982,Fast-Clean,Pressings,188 Atlantique Department Abomey Calavi - Bénin,+2290196680323,,Pressings
1983,HAE AGENCY,Pressings,- - Hévié Atlantique Department Godomey - Bénin,+2290166210601,,Pressings
1984,O'CLEAN PRESSING,Pressings,"C/ 1157, Rue des restaurants - Haie Vive Haie Vive - 04 BP 463 Cotonou - Bénin",Tel:+2290121306941,,Pressings
1985,Outre-mer plus,Pressings,"53CH+94H, 00(229 Zou Department Bohicon - Bénin",+2290196814282,,Pressings
1986,Pressing Le Defi,Pressings,99R7+QPX - kouhounou Littoral Cotonou - Bénin,+2290195957954,,Pressings
1987,S.B.J INTERNATIONAL SARL,Pressings,04BP485 Cotonou /Derrière le stade de l'Amitié de - kouhounou Atlantique Department Cotonou - Bénin,+2290152331010,,Pressings
1988,SENAME SERVICES & TRADING,Pressings,"Cinema Okpe Oluwa, 03 BP 1118 JERICHO COTONOU C/1094 MINONKPO WLOGUEDE senametrading@gmail.com 2ème rue à droite après la mairi - Saint-Jean Atlantique Department Cotonou - Bénin",+2290197981209,,Pressings
1989,SG PRESSING,Pressings,"Non loin de la Phcie Kindonou, à gauche en quittant le Stade Général Mathieu KEREKOU - kouhounou Kindonou Cotonou - Bénin",+2290164000187,,Pressings
1990,WASHMAN,Pressings,0 Zopah Atlantique Department Abomey Calavi - Bénin,+2290152525233,,Pressings
1991,3K ASEC,Pressings,Agblangandan Sèmè-Podji - Bénin,+2290164190671,,Pressings
1992,ABLIBA MULTI BUISNESS HOUSE,Pressings,"Mson Pognon, lot 357 situé en face de l'EPP Sénadé I Sènandé I Cotonou - Bénin",+2290165006964,Prestation en pressing et blanchisserie véhicule et agence Immobilière,PressingsPrestation en pressing et blanchisserie véhicule et agence Immobilière
1993,ADE BLANCHISSERIE PRESSING,Pressings,Catholique saint Moïse de sème Bohicon - Bénin,+2290159671592,La majorité des pressing existant mettent leur service à un niveau qui empêche un certain nombre de personnes d'avoir accès aux prestations. ADE Service non seulement décide de fournir un service à l'ancienne mais modernisé avec l'utilisation de machine. Mais nous ambitionnons de faire ce domaine une carrière de plus par le biais des séances de formation de jeunes qui ignorent les opportunités que ce domaine offres.,PressingsLa majorité des pressing existant mettent leur service à un niveau qui empêche un certain nombre de personnes d'avoir accès aux prestations. ADE Service non seulement décide de fournir un service à l'ancienne mais modernisé avec l'utilisation de machine. Mais nous ambitionnons de faire ce domaine une carrière de plus par le biais des séances de formation de jeunes qui ignorent les opportunités que ce domaine offres.
1994,ADE SERVICES,Pressings,444 Zou Department Bohicon - Bénin,+2290159671592,,Pressings
1995,AG PRESSING,Pressings,Sur l'alignement de la BOA Etoile Rouge Cotonou - Bénin,+2290197171556,,Pressings
1996,ALANE PRESSING,Pressings,Akpakpa - Senade Lomnava Cotonou - Bénin,+2290151791786,,Pressings
1997,ALELUIA PRESSING,Pressings,Akpakpa Lomnava Cotonou - Bénin,+2290164360123,,Pressings
1998,ALIANCES SNZ,Pressings,"BP 313, Kouhounou, C/2245 Avenue du Renouveau - Plan B4 - Page 178 Cotonou - Bénin",Tel:+2290121385301,,Pressings
1999,ALINO PRESSING,Pressings,Colas Pahou - Bénin,+2290194945540,,Pressings
2000,AMBASSADOR PRESSING,Pressings,En quittant Cotonou pour Calavi dans le trafic local 100 mètres avant l'université ISM ADONAÏ. Côté opposé à la fin clôture du CEG D'ABOMEY-CALAVI Abomey-Calavi - 229 - Bénin,Tel:+2290154150700,"AMBASSADOR PRESSING LAUNDRY DRY CLEANERS met ses services à votre disposition dans la gestion de vos vêtements et votre linge. Nous avons à cœur la satisfaction de nos clients et leur proposons des services de lavage et de repassage adaptés à leur besoin. Vous n’avez plus à vous soucier de votre linge, nous nous en chargeons à votre place et à des prix imbattables. Les frais de collectes et livraisons sont gratuites.","PressingsAMBASSADOR PRESSING LAUNDRY DRY CLEANERS met ses services à votre disposition dans la gestion de vos vêtements et votre linge. Nous avons à cœur la satisfaction de nos clients et leur proposons des services de lavage et de repassage adaptés à leur besoin. Vous n’avez plus à vous soucier de votre linge, nous nous en chargeons à votre place et à des prix imbattables. Les frais de collectes et livraisons sont gratuites."
2001,ARABA CLEAN,Pressings,Ahossougbeta Ahossougléta Abomey-Calavi - Bénin,+2290197423348,,Pressings
2002,ASAMAL PRESSING,Pressings,"Gare, devant l'emplacement des camions Godomey Abomey-Calavi - Bénin",+2290195958328,,Pressings
2003,ASSOGBA & FILS,Pressings,"Rue 1264, Akpakpa Ayelawadje Akpakpa Cotonou - Bénin",+2290195118382,,Pressings
2004,AVO YANTO NATIONAL,Pressings,Gbodjè Abomey-Calavi - Bénin,+2290161947471,Nous sommes une structure spécialisée dans les lessive de qualité à bon prix.,PressingsNous sommes une structure spécialisée dans les lessive de qualité à bon prix.
2005,AYOMAN'PRESSING,Pressings,Atrokpocodji Abomey-Calavi - Bénin,Tel:+2290167192818,Nous intervenons dans le lavage de touts sortes de linges et d'entretien bâtiment dans tout son entièreté,PressingsNous intervenons dans le lavage de touts sortes de linges et d'entretien bâtiment dans tout son entièreté
2006,CiaraCorporate,Produits cosmétiques,00229 - Segbeya Littoral Cotonou - Bénin,+2290196823387,,Produits cosmétiques
2007,DODJI COIFFURE,Produits cosmétiques,09bp711 Cotonou Cotonou - Sainte-Rita Atlantique Department Cotonou - Bénin,+2290197854909,,Produits cosmétiques
2008,FIFI DRESS QUEEN BEAUTY,Produits cosmétiques,FIFI DRESS QUEEN Atlantique Department Godomey - Bénin,+2290197033482,,Produits cosmétiques
2009,Fifi's glamour,Produits cosmétiques,G9X7+GCM chrislafifame@gmail.com Atlantique Department Abomey Calavi - Bénin,+2290198535627,,Produits cosmétiques
2010,Fée Esthétique,Produits cosmétiques,"l'aviation, Sassirou-Taïffa en Face du Barron sur la route de Donga Djougou - Bénin",+2290191720478,,Produits cosmétiques
2011,Jolina beauty skin care,Produits cosmétiques,Tankpè Atinkamey Atlantique Department Abomey Calavi - Bénin,+2290197008838,,Produits cosmétiques
2012,KEYLA BEAUTY,Produits cosmétiques,Non loin du festival des glaces - Haie Vive Haie Vive Cotonou - Bénin,+2290151020240,,Produits cosmétiques
2013,Larey Store,Produits cosmétiques,Houinmin Djaguidi Département de l’Ouémé Porto-Novo - Bénin,+2290151995550,,Produits cosmétiques
2014,Mcbeauty & accessories,Produits cosmétiques,- - Houenoussou Littoral Cotonou - Bénin,+2290197303518,,Produits cosmétiques
2015,Ninahouse Benin,Produits cosmétiques,00229 - Gbegamey Littoral Cotonou - Bénin,+2290196154426,,Produits cosmétiques
2016,Oboube Trading,Produits cosmétiques,"Ilot : 169, métallique, Bd Tokpota Département de l’Ouémé Porto-Novo - Bénin",+2290197058881,,Produits cosmétiques
2017,Secret de femme d'ici et d'ailleurs,Produits cosmétiques,00229 Atlantique Department Cotonou - Bénin,+2290168990045,,Produits cosmétiques
2018,Shade cosmétiques,Produits cosmétiques,9FPC+6W4 - Avotrou Département de l’Ouémé Cotonou - Bénin,+2290151793181,,Produits cosmétiques
2019,Yinka Beauty's House,Produits cosmétiques,"Sacré cœur, benin/cotonou Akpakpa - Segbeya Littoral Cotonou - Bénin",+2290196254079,,Produits cosmétiques
2020,Établissement de Jouvence,Produits cosmétiques,VONS Marlboro - Houenoussou Atlantique Department Cotonou - Bénin,+2290162821031,,Produits cosmétiques
