name,nature,tags
TOYIGBENA,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
WACSA SARL,PME/PMI,"Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Captage, traitement et distribution d’eau, Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Collecte et traitement des eaux usées, Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Collecte, traitement et élimination des déchets ; récupération des matériaux, +6"
WAKAPOU BENIN,PME/PMI,Industries manufacturières - Autres industries manufacturières
wAOUH MONDE,Startup / Scale-up,"Information et communication - Programmation, conseil et autres activités informatiques"
WELL STEVEN CONSULTING,PME/PMI,
WIWE AFRIQUE,Professionnel / Consultant indépendant,"Activités spécialisées, scientifiques et techniques - Activités juridiques et comptables, Activités de services administratifs et de soutien - Activités administratives et autres activités de soutien aux entreprises"
WORLD JOLLY GENERATION ENGINEERING AND TRADING SAR,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
YAHWEH JIRET CONCEPTION,Auto-entrepreneur,"Extraction minière et exploitation de carrières - Extraction de houille et de lignite, Extraction minière et exploitation de carrières - Extraction de pétrole brut et de gaz naturel, Extraction minière et exploitation de carrières - Extraction de minerais métalliques, +79"
YASKAR INTER,Chef d'entreprise,
YOUR FARM,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Industries manufacturières - Fabrication de produits alimentaires, Éducation - Éducation, +1"
ZIBO FINANCES SERVICES,PME/PMI,"Activités financières et d’assurance - Activités de services financiers, à l’exception de l’assurance et des caisses de retraite, Activités financières et d’assurance - Activités auxiliaires de services financiers et d’assurance"
,PME/PMI,
